Date,AAPL,JPM,MSFT,SPY
2021-10-13,137.68482971191406,144.30209350585938,285.5291748046875,410.20404052734375
2021-10-14,140.4696044921875,146.51593017578125,291.73492431640625,417.1039123535156
2021-10-15,141.52487182617188,149.330322265625,293.1418151855469,420.2805480957031
2021-10-18,143.1957244873047,149.27647399902344,296.1097412109375,421.5247802734375
2021-10-19,145.35511779785156,151.0869598388672,297.01556396484375,424.7768249511719
2021-10-20,145.84371948242188,153.12158203125,296.22540283203125,426.4451904296875
2021-10-21,146.05868530273438,151.9205322265625,299.4535217285156,427.5574951171875
2021-10-22,145.28675842285156,153.96408081054688,297.91168212890625,427.114501953125
2021-10-25,145.23793029785156,153.21121215820312,296.9191589355469,429.405029296875
2021-10-26,145.90234375,153.6234893798828,298.82708740234375,429.7914733886719
2021-10-27,145.44309997558594,150.42376708984375,311.4119567871094,427.88739013671875
2021-10-28,149.07794189453125,152.69134521484375,312.5489807128906,432.01605224609375
2021-10-29,146.37132263183594,152.2700958251953,319.5545654296875,432.89263916015625
2021-11-01,145.55056762695312,152.18942260742188,317.3863525390625,433.63726806640625
2021-11-02,146.58631896972656,152.78993225097656,321.0096130371094,435.3905029296875
2021-11-03,148.02267456054688,152.84371948242188,321.8478698730469,438.0487365722656
2021-11-04,147.5048065185547,150.83604431152344,324.19915771484375,440.1130676269531
2021-11-05,148.03323364257812,150.6208953857422,323.8329772949219,441.63995361328125
2021-11-08,147.21124267578125,151.52618408203125,324.7291564941406,442.0171203613281
2021-11-09,147.57325744628906,150.37892150878906,323.7269287109375,440.5560302734375
2021-11-10,144.7453155517578,150.23553466796875,318.7643737792969,437.0118103027344
2021-11-11,144.6964111328125,150.22657775878906,320.3350524902344,437.1531982421875
2021-11-12,146.7708740234375,149.55435180664062,324.4690246582031,440.45233154296875
2021-11-15,146.7806854248047,149.2854461669922,323.8426208496094,440.60321044921875
2021-11-16,147.75918579101562,148.2099151611328,327.1574401855469,442.34698486328125
2021-11-17,150.19577026367188,147.41221618652344,327.3795471191406,441.2724304199219
